# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Illustration of the calculation of the PALACE reference intensities for O
# recombination lines as listed in pmd_reflineint_atom.dat
# 
# Column names:
# lam: vacuum wavelength in µm (NIST)
# ID: 12 characters describing upper and lower states (NIST)
#     (see pmd_reflineint_atom.dat for details)
# Ei: energy of upper state in 1/cm (NIST)
# Aij: Einstein-A coefficient in 1/s (NIST)
# gi: statistical weight (NIST)
# wmp: weight of multiplet component (based on Aij and gi)
# rc: radiative recombination coefficient in cm3/s for optically thin case and
#     a temperature of 1,000 K (escalante+92)
# reffeat: reference feature measured in X-shooter data
#          (see pmd_intdata_atom.dat):
#          OI0777 for quintet and OI0845 for triplet upper states
# Iref: reference intensity in R for reffeat (see pmd_intdata_atom.dat)
# rI: intensity of line relative to Iref (based on wmp and rc)
# I: reference intensity in R (based on Iref and rI)
# 
# References:
# escalante+92: https://doi.org/10.1016/0032-0633(92)90127-A
# NIST: https://physics.nist.gov/asd
# 
         lam            ID          Ei        Aij  gi     wmp         rc  reffeat        Iref          rI           I 
   0.9828685  O_7f5F3d5D12  107595.140  8.950e+04   3  0.0057  5.940e-15   OI0777   1.614e+01   6.357e-05   1.026e-03 
   0.9828685  O_7f5F3d5D22  107595.140  5.370e+05   5  0.0571  5.940e-15   OI0777   1.614e+01   6.357e-04   1.026e-02 
   0.9828785  O_7f5F3d5D11  107595.140  6.270e+05   3  0.0400  5.940e-15   OI0777   1.614e+01   4.453e-04   7.188e-03 
   0.9828785  O_7f5F3d5D21  107595.140  7.520e+05   5  0.0800  5.940e-15   OI0777   1.614e+01   8.902e-04   1.437e-02 
   0.9828832  O_7f5F3d5D10  107595.140  6.270e+05   3  0.0400  5.940e-15   OI0777   1.614e+01   4.453e-04   7.188e-03 
   0.9894359  O_7f3F3d3D21  107595.147  1.080e+06   5  0.2005  5.710e-15   OI0845   6.654e+00   1.437e-02   9.559e-02 
   0.9894427  O_7f3F3d3D32  107595.147  1.140e+06   7  0.2963  5.710e-15   OI0845   6.654e+00   2.123e-02   1.413e-01 
   0.9894427  O_7f3F3d3D22  107595.147  2.000e+05   5  0.0371  5.710e-15   OI0845   6.654e+00   2.660e-03   1.770e-02 
   0.9894516  O_7f3F3d3D43  107595.147  1.280e+06   9  0.4278  5.710e-15   OI0845   6.654e+00   3.065e-02   2.039e-01 
   0.9894516  O_7f3F3d3D33  107595.147  1.430e+05   7  0.0372  5.710e-15   OI0845   6.654e+00   2.663e-03   1.772e-02 
   0.9894516  O_7f3F3d3D23  107595.147  5.630e+03   5  0.0010  5.710e-15   OI0845   6.654e+00   7.489e-05   4.983e-04 
   1.0678593  O_6f5F3d5D44  106785.160  3.950e+05   9  0.0428  1.310e-14   OI0777   1.614e+01   1.050e-03   1.694e-02 
   1.0678593  O_6f5F3d5D54  106785.160  2.370e+06  11  0.3138  1.310e-14   OI0777   1.614e+01   7.698e-03   1.242e-01 
   1.0678593  O_6f5F3d5D34  106785.160  3.390e+04   7  0.0029  1.310e-14   OI0777   1.614e+01   7.007e-05   1.131e-03 
   1.0678691  O_6f5F3d5D33  106785.160  7.120e+05   7  0.0600  1.310e-14   OI0777   1.614e+01   1.472e-03   2.375e-02 
   1.0678691  O_6f5F3d5D43  106785.160  1.980e+06   9  0.2145  1.310e-14   OI0777   1.614e+01   5.262e-03   8.492e-02 
   1.0678691  O_6f5F3d5D23  106785.160  9.490e+04   5  0.0057  1.310e-14   OI0777   1.614e+01   1.401e-04   2.261e-03 
   1.0678831  O_6f5F3d5D32  106785.160  1.630e+06   7  0.1373  1.310e-14   OI0777   1.614e+01   3.369e-03   5.438e-02 
   1.0678831  O_6f5F3d5D12  106785.160  1.580e+05   3  0.0057  1.310e-14   OI0777   1.614e+01   1.400e-04   2.259e-03 
   1.0678831  O_6f5F3d5D22  106785.160  9.490e+05   5  0.0571  1.310e-14   OI0777   1.614e+01   1.401e-03   2.261e-02 
   1.0678948  O_6f5F3d5D11  106785.160  1.110e+06   3  0.0401  1.310e-14   OI0777   1.614e+01   9.833e-04   1.587e-02 
   1.0678948  O_6f5F3d5D21  106785.160  1.330e+06   5  0.0800  1.310e-14   OI0777   1.614e+01   1.964e-03   3.169e-02 
   1.0679004  O_6f5F3d5D10  106785.160  1.110e+06   3  0.0401  1.310e-14   OI0777   1.614e+01   9.833e-04   1.587e-02 
   1.0756363  O_6f3F3d3D21  106785.201  1.910e+06   5  0.1997  1.270e-14   OI0845   6.654e+00   3.183e-02   2.118e-01 
   1.0756444  O_6f3F3d3D32  106785.201  2.020e+06   7  0.2957  1.270e-14   OI0845   6.654e+00   4.712e-02   3.136e-01 
   1.0756444  O_6f3F3d3D22  106785.201  3.550e+05   5  0.0371  1.270e-14   OI0845   6.654e+00   5.916e-03   3.936e-02 
   1.0756548  O_6f3F3d3D43  106785.201  2.280e+06   9  0.4292  1.270e-14   OI0845   6.654e+00   6.839e-02   4.550e-01 
   1.0756548  O_6f3F3d3D33  106785.201  2.540e+05   7  0.0372  1.270e-14   OI0845   6.654e+00   5.926e-03   3.943e-02 
   1.0756548  O_6f3F3d3D23  106785.201  1.000e+04   5  0.0010  1.270e-14   OI0845   6.654e+00   1.666e-04   1.109e-03 
   1.1094930  O_8d5D4p5P01  108106.094  2.870e+05   1  0.0400  1.580e-15   OI0777   1.614e+01   1.185e-04   1.913e-03 
   1.1094933  O_8d5D4p5P11  108106.091  2.150e+05   3  0.0900  1.580e-15   OI0777   1.614e+01   2.663e-04   4.298e-03 
   1.1094941  O_8d5D4p5P21  108106.085  1.000e+05   5  0.0698  1.580e-15   OI0777   1.614e+01   2.064e-04   3.332e-03 
   1.1095762  O_8d5D4p5P12  108106.091  7.170e+04   3  0.0300  1.580e-15   OI0777   1.614e+01   8.881e-05   1.433e-03 
   1.1095769  O_8d5D4p5P22  108106.085  1.670e+05   5  0.1165  1.580e-15   OI0777   1.614e+01   3.448e-04   5.564e-03 
   1.1095779  O_8d5D4p5P32  108106.077  1.910e+05   7  0.1866  1.580e-15   OI0777   1.614e+01   5.520e-04   8.909e-03 
   1.1097242  O_8d5D4p5P23  108106.085  1.910e+04   5  0.0133  1.580e-15   OI0777   1.614e+01   3.943e-05   6.364e-04 
   1.1097252  O_8d5D4p5P33  108106.077  9.550e+04   7  0.0933  1.580e-15   OI0777   1.614e+01   2.760e-04   4.455e-03 
   1.1097258  O_8d5D4p5P43  108106.072  2.870e+05   9  0.3604  1.580e-15   OI0777   1.614e+01   1.066e-03   1.721e-02 
   1.1289407  O_3d3D3p3P21   97488.448  2.320e+07   5  0.2501  6.640e-14   OI0845   6.654e+00   2.083e-01   1.386e+00 
   1.1289496  O_3d3D3p3P11   97488.378  1.290e+07   3  0.0834  6.640e-14   OI0845   6.654e+00   6.950e-02   4.625e-01 
