exposure,stack_row,mjd,fold,sky_far_label,target_airmass,moon_fli,moon_altitude_deg,moon_separation_deg,signed_phase_deg,e50_b,e90_b,bias_b,e50_r,e90_r,bias_r,e50_z,e90_z,bias_z
43510,14461,60867,3,SkyW,1.6179141123084364,0.9973,86.3362,52.8365,-6.0585220372200865,0.15070259217236262,0.21973281521886562,0.1498560949371884,0.10447416123599057,0.15852220419227026,0.10438072308364668,0.175080278509733,0.23605314208426942,0.175080278509733
43254,14467,60863,3,SkyW,1.3233614409817172,0.8639,75.4462,54.0737,43.12773126224894,0.061531293687874966,0.118924692896564,0.047628108836393554,0.04816948343878528,0.1197265424521375,0.045255709039526484,0.05575386619500526,0.14242163619851173,0.02525875732514587
32979,14485,60692,1,SkyE,1.02703624880327,0.8816,48.2516,45.7153,-40.78840347000775,0.1972569012508148,0.28344786251580106,-0.1972569012508148,0.2666527629973515,0.33906961171994443,-0.2666527629973515,0.3785093852476941,0.47806373038826316,-0.3785093852476941
43255,14488,60863,3,SkyW,1.2724239247792093,0.8643,72.0177,53.998,43.00394222364807,0.06958005768803022,0.13414070010102397,0.05866181161814223,0.05697275011962003,0.12656944479150756,0.05555048345634034,0.060679462675292256,0.11773125423064484,0.038899696549776666
44539,14492,60893,2,SkyW,1.7098268640499075,0.887,86.5186,52.9373,39.26919449922201,0.09638195539924094,0.21477171077346632,-0.09614539683646728,0.25017076114932024,0.3141480725325678,-0.25017076114932024,0.35275955898365785,0.3863792300650597,-0.35275955898365785
43256,14508,60863,3,SkyW,1.2286593647767192,0.8647,68.573,53.9226,42.88053313373487,0.07541737290894916,0.1315698236383473,0.0671566167494084,0.05034868426218486,0.12563332636481653,0.0475419862422367,0.04617631677684504,0.1355921143659729,0.009861806017369027
43252,14515,60863,3,SkyE,1.4529250910971365,0.863,82.1283,54.2284,43.37877774499859,0.06306762007850503,0.13010508760644726,0.053614996446951384,0.04259704464091181,0.11016509497978723,0.035101827379228054,0.06682750244184063,0.12466558745393273,0.04118607265138899
43258,14516,60863,3,SkyW,1.1559001980451908,0.8656,61.299,53.7634,42.62091158438702,0.09360414711727857,0.15361303283857874,0.08817680005426863,0.07907294059128132,0.14769749781151278,0.0780171182886287,0.061982556641100334,0.14473986446841472,0.02576029156378798
43261,14517,60863,3,SkyE,1.0875561495420858,0.8671,50.6823,53.5254,42.24103006230419,0.09159747456252368,0.14543829920869994,0.08531709167728198,0.09247637482892077,0.16091972014832034,0.09132620721948284,0.07955283355195185,0.13170840467452233,0.06039784249740088
43257,14524,60863,3,SkyE,1.190803469643575,0.8651,65.0916,53.8466,42.75621834555923,0.09409085011907899,0.15037539224369473,0.08838322021836253,0.08289176190274943,0.14841082274130052,0.08254579146001387,0.08124714143264225,0.13912027289504292,0.05308774542161897
43260,14525,60863,3,SkyW,1.1059452992579824,0.8666,54.2184,53.6059,42.367870806834816,0.10493561907077188,0.1584553977689127,0.09975126592603037,0.0985332958020389,0.1635931037559523,0.09790821983265459,0.07006311722625244,0.13023836105233136,0.04316620017134905
39271,14532,60782,0,SkyE,1.6465034744478244,0.8396,85.6497,56.7553,-47.462137415201454,0.0544781646755331,0.1514100084379614,0.015832064181027495,0.0880586343881565,0.14017376154304897,-0.0880586343881565,0.07622188878714309,0.16112947280079004,-0.07144014551494651
43263,14534,60863,3,SkyW,1.0629408949316497,0.8681,43.7727,53.3636,41.991812125475974,0.07732724942183544,0.13246610293568317,0.07103637265772147,0.09605956458616965,0.15857729601412074,0.09531891813783794,0.06631730685352846,0.1549256423588415,0.03401685925614803
44541,14537,60893,2,SkyW,1.799115811870984,0.8878,79.5291,52.9349,39.00634644515941,0.04277209428616733,0.11754817109440008,0.014365217900448032,0.034362037247672596,0.07013149991495564,-0.015385061554331727,0.08999728348435473,0.18779602825832226,0.08999728348435473
39272,14541,60782,0,SkyE,1.5462379561186745,0.8391,82.2544,56.6824,-47.586590226765395,0.04512035958751553,0.1383801450512946,0.00866913308845633,0.09702598240424463,0.14855575816809047,-0.09702598240424463,0.08726433460854838,0.17384296727599716,-0.08421245059723109
43262,14543,60863,3,SkyW,1.0733953656858026,0.8676,47.2158,53.4451,42.11625523540326,0.09069066148027098,0.14077408492210491,0.08452255019200586,0.09530928524892676,0.1644827794863157,0.09436052385089455,0.07482008313299708,0.15051684389224051,0.037777641690676864
44540,14545,60893,2,SkyE,1.7474719802798964,0.8874,83.0179,52.937,39.13716917999437,0.04914513688478839,0.12462652799915497,-0.015473306324458359,0.10956963872258228,0.13405663036410415,-0.10956963872258228,0.09609223284232009,0.13719567679916306,-0.09501809928534903
51373,14593,61040,3,SkyE,1.1112491308130816,0.8417,37.1039,53.8199,47.06581029074215,0.15539689420700373,0.27790977662294875,-0.15539689420700373,0.15706236553418101,0.18414715657440717,-0.15706236553418101,0.24690840075738502,0.3863415669500216,-0.24671078226918786
41924,14602,60833,0,SkyW,1.0652362563965068,0.837,58.1234,50.0446,47.968037724079124,0.041210648955124225,0.19941627611376705,-0.04030210053443092,0.0706279506082775,0.12966736816402902,-0.0706279506082775,0.09619375015838877,0.22754024932727904,-0.0950426453677295
19583,14643,60480,4,SkyE,1.2231071085444105,0.9014,60.8872,48.8845,36.99920386785524,0.066517926192308,0.12209910135929893,0.054782366689489215,0.07375490637403462,0.14694435920643084,0.07260721270815612,0.14941804568705924,0.20919011534499177,0.14675612573030353
41925,14644,60833,0,SkyW,1.092727200035308,0.8375,61.3982,50.091,47.84349420911161,0.04322064253537261,0.18808681203806893,-0.042945734783006534,0.09408203335936904,0.1538715891477949,-0.09408203335936904,0.09808225728517984,0.21257692417578034,-0.09751974838907136
39276,14682,60782,0,SkyW,1.2514985719150602,0.8371,66.9827,56.3661,-48.13416514157251,0.09326218815544408,0.2571755951454097,-0.09326218815544408,0.12540332182352967,0.18077044218095864,-0.12540332182352967,0.13520155257773148,0.2250596853254717,-0.13487336287643137
21641,14683,60509,1,SkyE,1.5123888759315127,0.8634,73.4213,51.8963,43.677028992979785,0.0775871645740649,0.14167236173302408,0.06809519457123735,0.04145316824023602,0.10735062536881114,0.03967053869461965,0.07652806730271115,0.1376985740836962,0.0731943986586749
19581,14686,60480,4,SkyE,1.1987532587726377,0.9005,53.868,48.6722,37.2613762662136,0.025439220262129043,0.14920657039358676,-0.0049813072792654145,0.0318125190052653,0.08478393364538922,0.013099633462929786,0.057051266784905616,0.11169043365249547,0.050004089379283946
43246,14724,60863,3,SkyE,1.4573202147261768,0.8603,73.2002,57.1976,44.18774131466702,0.053009053663435016,0.1243220583518927,0.038791422062729106,0.05355788496968304,0.11560843101300289,0.04973565447012128,0.07175938091219147,0.14238530864155147,0.0340462480726343
19582,14726,60480,4,SkyE,1.2076971380698671,0.901,57.4247,48.7808,37.12881964210723,0.030487046731661728,0.14695465427404591,0.01165773131498322,0.053447094296614,0.1251165249939369,0.05260697364703192,0.1372079345704961,0.19982415456473418,0.13641030780663832
43264,14745,60863,3,SkyE,1.0559233391494418,0.8686,40.2973,53.2794,41.865603689347125,0.07864481758776423,0.134796063925285,0.07204450959993498,0.10332805949869969,0.16120956997346259,0.10090384236849756,0.07829567281388015,0.13168609076062618,0.06693946589441366
31079,14753,60656,4,SkyW,1.1237471198728428,0.8568,44.2479,58.7278,44.68402938458766,0.04306255501718155,0.20496547728395487,-0.04296269490315194,0.03835846189026844,0.10090954297189618,0.03467973283310495,0.0568038458184606,0.1776987927152829,0.007836022395078829
21651,14781,60509,1,SkyE,1.3587800250794186,0.868,72.2654,58.0752,42.36354275639613,0.062387491323157816,0.11858904616574886,0.05280533860335422,0.05490012368328723,0.12371925822752279,0.053569248945154024,0.11426372593023473,0.18230470457240258,0.11321116017932531
43265,14830,60863,3,SkyE,1.0524470376781379,0.8692,36.9065,53.1949,41.74179794662922,0.08160582125482613,0.1335639962478067,0.07504901102596415,0.10714883531316557,0.16805657621738668,0.10657621969312811,0.08986315284882196,0.1438330404488651,0.07769372326068757
31078,14839,60656,4,SkyW,1.092673650320614,0.8562,44.2509,58.6247,44.8369018019236,0.03442161757372359,0.20471811847960897,-0.032147253212213525,0.04083197324828187,0.10902322070931778,0.03871724449959559,0.0644425344398587,0.15193508338796172,0.01675100953100142
43245,14852,60863,3,SkyW,1.3836532873374598,0.8598,69.2428,58.6272,44.32911663166237,0.02342409306249978,0.15052072008334116,-0.013896519585353387,0.04355451992800781,0.09818844984036429,0.01920323533411246,0.05026348975871935,0.14297561566924905,0.006871074832859945
43243,14855,60863,3,SkyE,1.2887372811625688,0.8588,62.2677,58.4418,44.57667486402008,0.02829175425456685,0.19275274008867496,-0.026371016951557743,0.04785363769117495,0.11751953252620907,0.0376826027817032,0.07373925282821846,0.14810552206471636,0.03057185563139858
21649,14867,60509,1,SkyW,1.5105272572005746,0.867,79.3167,58.2429,42.64034870442984,0.05659588447082446,0.11662245122171806,0.046067933802881274,0.04006437110409351,0.10851007885382032,0.03829150252319728,0.10209529172749142,0.1726880892305215,0.09948174276975061
43266,14872,60863,3,SkyE,1.052443749494407,0.8698,33.2358,53.1008,41.60692620384623,0.08624215602376833,0.1431895598326603,0.07924157435036647,0.10473499602331615,0.16295823431963968,0.10438780871747425,0.08741679578587527,0.14129060136900326,0.07954855673088296
47436,14892,60958,0,SkyE,1.0195203648070958,0.861,29.9107,59.8252,-43.34753697035188,0.09867845284117567,0.2433299108882916,-0.09867845284117567,0.08035164628109673,0.12265621331427576,-0.08035164628109673,0.08511742584023743,0.15003320622215854,-0.08502246003113761
43244,14900,60863,3,SkyE,1.331526171363478,0.8593,65.7995,58.5366,44.45146068140889,0.03127768689379183,0.19331834811639062,-0.03035304515481577,0.04507072795794203,0.10398780629088862,0.028591410876112815,0.06932730803324451,0.1299286419816905,0.03661984865728702
21653,14914,60509,1,SkyW,1.2461334450379993,0.869,65.0803,57.905,42.08233868501955,0.07189285955309604,0.12658750868158342,0.06433556287272307,0.07192956175475572,0.14596610415383163,0.07062481351086633,0.1178092185717875,0.18926453846534014,0.11633050611478761
47091,14936,60951,4,SkyW,1.0259711174690704,0.8068,23.0366,56.4357,51.56761261201734,0.027294043093016505,0.15462919612207468,-0.00045245355272499605,0.053086166022344033,0.11208335011216156,0.04806662676664504,0.05099624075715078,0.12767112969543593,0.0357718568618603
47435,14941,60958,0,SkyW,1.010997698055284,0.8616,28.3283,59.7173,-43.193458112036325,0.08749542951245298,0.2548129822284255,-0.08749542951245298,0.08652696579117361,0.12835879537868172,-0.08652696579117361,0.12661325188005992,0.19941831464426832,-0.1263175392405025
21650,14962,60509,1,SkyE,1.4293741004890261,0.8675,75.8314,58.1596,42.50320053962972,0.061286724615302324,0.12129867063875077,0.05046525674148707,0.04624869557116098,0.11032334953269703,0.04454982918988804,0.10673467840308545,0.18990346929753096,0.10539549799531883
21654,14963,60509,1,SkyE,1.203694440022915,0.8695,61.6575,57.8231,41.948081963897266,0.06624371380130652,0.11627321563605603,0.058579762914195005,0.07064909118780184,0.1407890669441717,0.06799099165425998,0.11915850794183226,0.18016934569050974,0.11775216995871766
47090,14987,60951,4,SkyW,1.0144937336766149,0.8059,26.7102,56.5363,51.71653944517834,0.03137840677245019,0.19232154269579996,0.008824694478568111,0.06409425758592206,0.1244035561524198,0.06048078128720225,0.06163076122310245,0.12322583755737967,0.05368106506212321
